job_title,experience_level,employment_type,company_size,company_location,industry,remote_ratio,years_experience,education_level,primary_language,team_size,certifications_count,uses_ai_tools_daily,ai_tools_hours_per_week,salary_usd
AI Engineer, Senior ,Full-time,L,GB,Technology,100,10.1,Masters,Python,9,2,True,17.1,151394
AI Engineer,Senior,Full-time,S,US,Healthcare,0,10.3,Masters,Python,12,2,True,10.0,195720
Data Engineer,Entry,Full-time,M,BR,Finance,0,0.7,Bachelors,Python,5,2,True,13.0,29965
Machine Learning Engineer,Lead,Freelance,L,US,Retail,0,12.5,PhD,Python,8,2,True,8.3,276910
Machine Learning Engineer,Entry,Full-time,S,US,Finance,0,0.4,Masters,Python,10,1,True,13.4,104896
Machine Learning Engineer,Mid,Full-time,L,CA,Technology,0,5.8,Bachelors,Scala,10,2,False,0.0,83238
Research Scientist,Senior,Full-time,M,BR,Consulting,100,9.5,Masters,Python,7,3,True,14.5,38007
AI Engineer,Mid,Full-time,M,US,Technology,0,4.2,Bachelors,Java,6,1,False,1.2,169730
Machine Learning Engineer,Lead,Full-time,L,AU,Energy,0,14.7,PhD,Python,5,1,True,16.9,179645
Data Scientist,Mid,Full-time,M,US,Healthcare,0,5.3,Bachelors,R,11,2,True,6.4,120239
Analytics Engineer,Mid,Freelance,M,GB,Healthcare,100,9.6,Masters,Scala,10,1,True,12.4,60384
Machine Learning Engineer,Senior,Full-time,L,US,Finance,100,11.8,Bachelors,Python,9,2,True,14.8,245491
Data Engineer,Senior,Full-time,M,GB,Retail,0,11.7,Bachelors,Python,9,3,True,9.3,84140
Machine Learning Engineer,Mid,Full-time,L,PL,Technology,100,7.9,Masters,Python,10,2,True,22.6,99236
Data Scientist,Entry,Full-time,S,IN,Healthcare,100,3.0,Bachelors,Python,7,1,False,0.0,20350
Business Intelligence Analyst,Mid,Full-time,M,US,Finance,0,10.0,Bachelors,Python,5,1,True,13.1,97474
Data Science Manager,Mid,Full-time,M,FR,Retail,50,7.4,Bachelors,Python,13,2,False,0.8,81977
Data Scientist,Lead,Full-time,M,US,Finance,100,16.6,Bachelors,Java,9,2,True,11.6,197149
Data Engineer,Lead,Full-time,M,US,Technology,100,16.2,Masters,Python,5,3,False,2.7,179885
MLOps Engineer,Senior,Full-time,M,IN,Retail,50,12.8,Bachelors,Python,5,1,True,6.1,49581
Data Engineer,Executive,Full-time, S ,US,Consulting,100,16.8,Bachelors,Python,7,1,True,13.5,145188
AI Engineer,Mid,Part-time,M,AU,Government,50,3.9,Bachelors,Python,6,1,True,7.3,48644
Machine Learning Engineer,Senior,Full-time,M,GB,Consulting,100,10.6,Masters,Python,8,3,True,7.1,128061
Analytics Engineer,Mid,Full-time,L,US,Government,100,9.1,Bachelors,Python,11,1,True,13.7,103751
Data Science Manager,Entry,Contract,L,PL,Technology,100,1.8,PhD,SQL,7,2,False,0.8,47457
Business Intelligence Analyst,Entry,Full-time,M,FR,Consulting,50,1.7,Bachelors,Python,2,3,True,8.6,36703
AI Engineer,Entry,Contract,L,US,Manufacturing,0,3.9,PhD,Python,12,0,True,9.8,84722
Data Analyst,Entry,Full-time,M,PL,Healthcare,50,1.4,Masters,SQL,8,4,True,8.5,20211
Computer Vision Engineer,Executive,Full-time,M,US,Finance,0,20.7,Bootcamp,Python,11,2,True,5.4,204902
Data Scientist,Entry,Full-time,M,US,Technology,0,4.6,Bachelors,Python,6,1,False,2.0,94426
Data Engineer,Lead,Full-time,M,US,Retail,0,12.0,Masters,SQL,5,0,False,5.0,213117
Data Engineer,Lead,Full-time,L,DE,Consulting,100,17.8,PhD,Java,11,1,True,14.9,191241
Research Scientist,Mid,Part-time,S,US,Technology,0,3.9,Self-taught,Python,8,1,True,11.7,47234
Machine Learning Engineer,Mid,Full-time,M,DE,Retail,50,7.4,PhD,R,12,4,True,20.2,90333
Data Scientist,Senior,Full-time,M,CA,Manufacturing,50,9.9,Self-taught,Python,8,2,True,0.5,67204
Data Scientist,Mid,Full-time,M,SG,Finance,0,6.6,Masters,Python,6,1,True,6.7,88207
AI Engineer,Mid,Full-time,L,CA,Media,0,1.9,Bachelors,SQL,7,0,False,0.2,85637
Machine Learning Engineer,Entry,Full-time,M,NL,Technology,0,3.9,Self-taught,Python,6,2,False,0.0,63446
AI Engineer,Entry,Full-time,L,US,Consulting,50,3.6,Bachelors,Python,6,3,True,9.4,92547
AI Engineer,Senior,Full-time,S,US,Energy,100,8.5,PhD,Python,8,4,True,7.3,169313
Business Intelligence Analyst,Mid,Full-time, L ,DE,Finance,0,7.1,Masters,Python,2,1,True,5.7,74355
Computer Vision Engineer,Lead,Full-time,S,US,Technology,100,12.9,PhD,Python,12,1,True,3.8,207529
Data Analyst,Senior,Full-time,M,BR,Media,100,12.4,Bachelors,Java,10,6,True,13.1,29779
Computer Vision Engineer,Mid,Full-time,L,FR,Media,100,7.0,Bachelors,Python,13,1,False,7.7,89600
Analytics Engineer,Senior,Full-time,S,NL,Healthcare,50,13.1,Masters,Python,5,1,False,3.9,87299
Research Scientist,Senior,Full-time,L,DE,Technology,0,12.0,Bachelors,Python,9,1,True,6.3,124075
Research Scientist,Senior,Full-time,L,CA,Finance,50,9.2,Masters,Python,13,2,True,14.7,132418
AI Engineer,Lead,Full-time,S,US,Healthcare,50,20.4,Bachelors,Python,9,1,False,2.0,214002
Computer Vision Engineer,Mid,Full-time,M,US,Technology,100,8.6,Masters,,9,3,True,11.6,223581
Data Analyst,Senior,Full-time,M,IN,Finance,100,8.5,Bachelors,SQL,5,2,False,0.0,28979
AI Engineer,Mid,Full-time,M,US,Finance,50,6.1,PhD,Python,13,0,False,2.9,203974
LLM Engineer,Entry,Full-time,S,US,Finance,0,2.5,Bachelors,Java,15,1,False,3.9,93722
Data Scientist,Senior,Full-time,M,GB,Technology,50,9.3,Masters,R,10,1,False,2.2,109063
AI Engineer,Entry,Full-time,M,AU,Energy,50,1.3,PhD,Python,8,1,False,4.4,79514
Data Engineer,Entry,Full-time,S,US,Manufacturing,50,2.8,Masters,SQL,6,2,False,0.2,61316
Analytics Engineer,Senior,Full-time,L,DE,Technology,50,7.2,PhD,Python,6,2,True,11.3,149355
Data Scientist,Lead,Full-time,L,FR,Media,0,16.2,Masters,Python,7,2,True,10.4,138798
AI Engineer,Senior,Contract,M,FR,Technology,50,10.5,PhD,Java,8,1,False,1.3,135891
Business Intelligence Analyst, Lead ,Full-time,S,US,Government,50,14.6,PhD,Python,8,3,False,2.5,138564
AI Engineer,Mid,Full-time,M,DE,Finance,0,5.8,Bachelors,Python,7,3,True,19.5,108545
Data Engineer,Mid,Full-time,M,BR,Retail,100,7.3,Bachelors,R,6,1,True,18.5,35134
Research Scientist,Mid,Freelance,L,US,Finance,50,6.3, Masters ,Python,9,2,True,4.9,135653
Data Engineer,Entry,Full-time,M,US,Technology,0,3.8,Masters,Julia,9,1,False,0.8,119243
Research Scientist,Entry,Full-time,M,GB,Technology,50,3.5,PhD,Python,14,0,True,11.4,92945
Data Scientist,Mid,Full-time,L,AU,Finance,100,6.9,Bootcamp,SQL,6,3,True,8.4,106852
Data Analyst,Lead,Full-time,S,BR,Government,100,15.0,Masters,Python,5,3,True,5.2,30671
Data Scientist,Entry,Full-time,L,BR,Technology,100,5.1,Bootcamp,Python,13,2,True,12.3,29270
Data Scientist,Mid,Full-time,L,US,Finance,0,4.4,Masters,Python,10,1,True,13.4,179175
AI Engineer,Executive,Full-time,M,US,Finance,100,21.1,Masters,Python,9,2,False,4.0,271576
Data Analyst,Lead,Full-time,M,PL,Technology,50,16.5,PhD,Python,8,0,True,6.6,71853
Machine Learning Engineer,Entry,Full-time,S,DE,Consulting,0,2.8,Masters,Python,10,1,True,10.3,69077
Research Scientist,Senior,Contract,S,US,Technology,0,9.9,Masters,Python,10,4,True,9.0,169616
Business Intelligence Analyst,Lead,Full-time,M,US,Retail,50,14.9,Masters,Python,10,2,False,4.4,114968
Data Engineer,Entry,Full-time,M,BR,Consulting,0,5.2,Masters,Python,10,1,True,5.0,26394
Data Engineer,Mid,Full-time,M,IN,Technology,50,4.9,Bootcamp,Python,7,1,True,15.4,44028
Data Engineer,Senior,Full-time,M,US,Technology,100,10.6,Bachelors,Python,1000,0,True,9.7,129356
Data Scientist,Senior,Full-time,L,IN,Consulting,50,12.6,Masters,SQL,8,3,True,14.6,41160
Research Scientist,Lead,Full-time,M,AU,Retail,0,17.5,Self-taught,Python,4,1,True,2.9,142928
LLM Engineer,Mid,Full-time,M,IN,Education,0,5.4,PhD,Python,4,3,True,13.9,33669
Machine Learning Engineer,Entry,Full-time,M,CA,Healthcare,0,1.7,PhD,Python,6,2,True,20.0,75346
AI Engineer,Executive,Full-time,S,US,Manufacturing,0,18.1,Bachelors,Python,10,5,False,2.9,200635
Data Science Manager,Mid,Full-time,M,GB,Technology,100,6.4,Self-taught,Python,6,1,False,3.5,104928
MLOps Engineer,Senior,Full-time,S,GB,Technology,100,8.5,Masters,Java,9,3,True,8.6,103017
Analytics Engineer,Lead,Part-time,S,ES,Technology,50,11.1,PhD,Python,11,3,False,2.2,48800
Business Intelligence Analyst,Senior,Full-time,M,US,Manufacturing,0,9.2,Bachelors,Python,9,3,False,0.0,77799
Data Analyst,Mid,Full-time,S,US,Healthcare,50,4.5,Bachelors,Python,7,1,False,3.7,76052
Research Scientist,Mid,Full-time,L,GB,Finance,50,6.4,Bootcamp,Python,6,1,True,11.9,102866
MLOps Engineer,Entry,Full-time,L,DE,Technology,0,1.8,Masters,R,6,2,False,3.1,67582
LLM Engineer,Entry,Part-time,M,SG,Media,0,3.9,Masters,Python,7,3,True,7.6,35214
Data Engineer,Senior,Full-time,M,SG,Retail,0,13.9,Self-taught,SQL,8,4,True,17.9,86670
MLOps Engineer,Entry,Full-time,M,DE,Healthcare,100,0.0,Masters,Python,6,2,True,6.8,86499
AI Engineer,Mid,Full-time,L,IN,Finance,0,5.1,Masters,Python,11,2,True,18.2,32018
Data Engineer,Mid,Full-time,S,US,Energy,0,5.5,Masters,Python,9,1,True,15.0,115620
Data Scientist,Lead,Full-time,M,IN,Government,100,12.7,Bachelors,Python,12,3,True,7.6,48918
Data Engineer,Senior,Part-time,M,IN,Finance,0,11.4,Bachelors,Scala,12,1,True,13.0,37999
Data Science Manager,Senior,Full-time,L,US,Retail,0,10.2,Masters,Python,10,2,False,0.1,200533
Data Analyst,Senior,Full-time,M,US,Technology,100,13.0,Self-taught,SQL,8,1,True,11.2,123417
Data Scientist,Mid,Full-time,M,GB,Finance,50,7.1,PhD,R,8,1,True,14.4,90938
Data Engineer,Senior,Full-time,S,US,Finance,100,11.6,Bootcamp,Python,8,2,True,14.8,159096
Data Scientist,Entry,Full-time,M,US,Consulting,50,3.0,Masters,Python,6,2,False,4.3,72876
Data Analyst,Entry,Full-time,M,US,Government,50,0.0,Self-taught,SQL,9,0,False,1.9,38828
Computer Vision Engineer,Executive,Full-time,M,BR,Retail,0,18.0,Masters,Python,8,1,True,11.7,58467
Data Engineer,Mid,Full-time,M,FR,Technology,50,7.3,Bootcamp,Scala,15,3,False,1.1,59938
AI Engineer,Mid,Full-time,M,SG,Education,50,8.4,Bachelors,SQL,7,3,True,9.5,70773
Data Analyst,Entry,Full-time,M,IN,Finance,100,,Masters,Python,9,3,False,3.0,23692
Research Scientist,Mid,Full-time,M,US,Retail,50,5.9,Masters,Python,12,0,True,5.7,108544
Data Scientist,Lead,Full-time,M,US,Energy,0,15.2,Masters,SQL,8,2,True,4.2,252553
Analytics Engineer,Lead,Full-time,L,GB,Manufacturing,0,12.9,Bootcamp,Python,5,3,True,14.3,116029
Machine Learning Engineer,Senior,Full-time,M,GB,Technology,0,13.3,Bachelors,Python,11,1,False,4.2,113012
Data Analyst,Mid,Full-time,L,US,Finance,100,2.5,Bachelors,Python,11,5,False,2.3,113414
Analytics Engineer,Lead,Full-time,M,US,Finance,0,11.1,Masters,Python,5,1,True,14.8,175747
AI Engineer,Senior,Full-time,M,US,Retail,50,9.4,Self-taught,Python,7,3,True,14.7,193930
Machine Learning Engineer,Entry,Full-time,M,DE,Technology,0,3.0,Bootcamp,Python,9,0,False,2.9,70399
Data Analyst,Senior,Full-time,L,US,Retail,100,11.0,PhD,Python,10,1,False,4.2,139871
Analytics Engineer,Mid,Full-time,S,US,Technology,100,4.4,PhD,Python,6,2,True,19.0,116668
Data Engineer,Entry,Full-time,L,FR,Retail,0,2.5,Masters,SQL,11,1,True,12.9,54863
Data Scientist,Mid,Full-time,S,IN,Finance,100,3.5,PhD,Java,7,1,True,5.8,32012
Data Science Manager,Senior,Full-time,M,US,Retail,0,11.4,Masters,Python,6,0,True,9.9,174420
Data Scientist,Senior,Full-time,M,PL,Retail,50,11.9,Bachelors,Python,9,2,False,1.3,56120
Data Scientist,Executive,Freelance,S,SG,Technology,100,15.9,Masters,SQL,6,2,False,1.3,117747
Machine Learning Engineer,Mid,Full-time,M,PL,Retail,100,5.1,PhD,Python,6,4,True,11.4,54647
Data Analyst,Mid,Full-time,S,US,Retail,100,8.0,Bachelors,Python,8,3,False,2.1,89087
Data Engineer,Lead,Full-time,M,AU,Media,100,16.5,Masters,Scala,4,2,True,13.6,162009
AI Engineer,Mid,Full-time,M,ES,Technology,50,4.5,Self-taught,SQL,5,1,True,8.6,53807
Data Science Manager,Senior,Full-time,L,DE,Consulting,50,,Masters,Python,7,4,True,4.9,123185
Computer Vision Engineer,Entry,Full-time,M,US,Retail,100,3.7,Bachelors,Python,12,1,True,17.0,77198
Data Scientist,Senior,Freelance,S,US,Consulting,50,13.6,Bachelors,SQL,9,2,True,9.1,89867
Business Intelligence Analyst,Senior,Full-time,M,IN,Government,0,11.5,Masters,Python,7,4,True,15.8,32998
Data Analyst,Senior,Full-time,M,NL,Finance,50,9.9,Bootcamp,Python,12,0,True,11.6,90352
LLM Engineer,Mid,Full-time,L,US,Healthcare,50,7.3,PhD,Python,3,1,False,1.4,171331
Data Engineer,Senior,Full-time,M,US,Government,100,12.2,PhD,Python,8,6,True,9.6,128137
MLOps Engineer,Senior,Full-time,L,GB,Healthcare,50,13.5,Bachelors,SQL,11,2,True,7.7,93654
MLOps Engineer,Senior,Full-time,M,NL,Healthcare,100,9.3,Bachelors,Python,9,2,False,0.0,131889
Business Intelligence Analyst,Lead,Full-time,S,FR,Finance,100,14.0,PhD,Python,8,2,False,2.1,98759
Data Science Manager,Mid,Full-time,S,ES,Energy,100,7.9,Bootcamp,SQL,6,1,True,18.6,46758
Data Analyst,Senior,Full-time,S,US,Finance,100,7.1,PhD,Python,8,1,True,14.0,142322
AI Engineer,Senior,Full-time,L,US,Technology,50,,Bachelors,Python,5,1,True,15.9,200099
MLOps Engineer,Senior,Full-time,M,US,Healthcare,50,9.6,Masters,SQL,7,2,True,7.0,152774
Data Scientist,Mid,Contract,M,US,Finance,0,2.7,Masters,Python,8,2,False,3.0,136984
Research Scientist,Senior,Full-time,L,ES,Manufacturing,100,9.6,Masters,SQL,13,3,True,10.9,109824
Data Engineer,Mid,Full-time,S,US,Retail,50,3.4,Masters,Python,12,2,True,12.8,120754
Data Analyst,Senior,Full-time,S,GB,Finance,0,6.8,Bachelors,Python,7,1,True,6.9,71655
AI Engineer,Mid,Contract,M,CA,Technology,50,7.7,Bachelors,SQL,9,3,False,2.1,73110
Machine Learning Engineer,Lead,Full-time,S,SG,Retail,0,13.2,Bachelors,R,5,1,False,0.0,99284
AI Engineer,Mid,Full-time,S,US,Consulting,50,8.1,Masters,Java,6,1,False,4.0,191504
Research Scientist,Lead,Full-time,M,NL,Media,0,13.7,Bachelors,SQL,8,1,True,5.7,124020
Machine Learning Engineer,Senior,Full-time,M,US,Consulting,100,11.4,Bootcamp,SQL,6,1,True,15.7,143578
Business Intelligence Analyst,Senior,Full-time,M,DE,Technology,0,11.5,Bachelors,Python,14,2,True,6.7,85876
Data Analyst,Senior,Full-time,L,NL,Technology,100,9.2,Bachelors,Python,8,2,True,9.8,118003
Data Engineer,Senior,Full-time,M,CA,Technology,50,12.1,Masters,Python,6,1,True,15.7,168344
Data Engineer,Senior,Contract,M,AU,Media,100,9.9,Bachelors,SQL,4,3,True,18.4,82319
Analytics Engineer,Senior,Full-time,M,US,Government,0,11.9,Masters,Python,10,2,True,16.9,129374
Research Scientist,Entry,Full-time,L,DE,Healthcare,0,0.0,Bachelors,SQL,3,4,True,15.7,80351
Data Analyst,Mid,Full-time,L,NL,Retail,0,4.8,Bachelors,SQL,10,2,False,0.1,68986
Analytics Engineer,Mid,Full-time,M,CA,Technology,100,5.2,Bootcamp,Scala,10,3,False,1.5,86313
Analytics Engineer,Executive,Full-time,L,US,Technology,0,18.0,Bachelors,Python,10,2,True,7.6,199983
Analytics Engineer,Mid,Full-time,M,US,Technology,0,7.9,PhD,Python,8,1,True,18.6,105797
Data Scientist,Senior,Contract,M,CA,Retail,0,8.9,Bachelors,Python,8,3,True,14.2,89996
Data Analyst,Mid,Full-time,M,US,Manufacturing,100,9.0,Bachelors,R,11,4,False,4.1,83151
Business Intelligence Analyst,Executive,Full-time,S,GB,Technology,50,19.7,Bootcamp,Java,5,2,True,13.3,129131
Business Intelligence Analyst,Executive,Full-time,S,US,Healthcare,0,17.5,Bachelors,Scala,6,4,True,10.3,112737
Data Analyst,Senior,Full-time,M,US,Technology,0,12.2,Bachelors,Python,7,2,False,2.0,115493
AI Engineer,Executive,Full-time,M,GB,Technology,100,20.1,Bachelors,Python,9,5,True,11.0,248279
Data Analyst,Mid,Full-time,M,GB,Media,50,4.9,Masters,Python,11,2,False,5.7,50453
Machine Learning Engineer,Entry,Full-time,M,CA,Technology,100,3.2,Masters,Python,12,1,True,7.6,71959
Data Scientist,Lead,Full-time,M,DE,Technology,50,13.4,Bachelors,Python,7,4,True,7.9,159581
Data Engineer,Mid,Full-time,M,DE,Technology,100,7.2,Masters,Rust,6,2,False,1.4,84920
Data Analyst,Senior,Full-time,M,GB,Retail,50,12.7,Bachelors,SQL,4,5,False,5.1,59551
Computer Vision Engineer,Lead,Full-time,L,US,Government,100,15.3,Bachelors,Python,9,1,False,4.7,162219
AI Engineer,Mid,Full-time,L,GB,Government,0,3.1,Bachelors,Python,14,4,True,6.6,84695
Data Analyst,Senior,Full-time,M,GB,Consulting,0,9.0,Masters,Python,12,1,False,1.4,104276
Machine Learning Engineer,Senior,Full-time,M,IN,Healthcare,100,10.6,Bachelors,Python,5,2,True,12.6,34051
Machine Learning Engineer,Senior,Full-time,M,US,Energy,50,12.1,Bachelors,Python,5,1,True,13.8,191242
Research Scientist,Senior,Full-time, S ,US,Finance,0,8.7,PhD,Python,7,3,False,3.5,171769
AI Engineer,Mid,Full-time,L,IN,Finance,0,8.6, Masters ,Python,9,0,False,3.6,63664
Machine Learning Engineer,Mid,Full-time,S,NL,Technology,100,6.0,PhD,Python,11,0,True,8.5,79924
Data Engineer,Senior,Full-time,S,IN,Healthcare,100,8.8,Bootcamp,Python,8,5,False,0.8,25651
AI Engineer,Lead,Full-time,M,CA,Technology,0,13.7,Bootcamp,Python,8,1,True,6.1,173691
Data Science Manager,Lead,Full-time,S,US,Technology,0,16.1,PhD,Python,6,1,True,4.5,287379
AI Engineer,Mid,Full-time,M,ES,Technology,50,4.9,Bachelors,Python,5,3,True,9.2,61391
Business Intelligence Analyst,Mid,Full-time,L,US,Finance,0,6.6,Bachelors,Java,6,2,True,6.5,106229
Data Scientist,Mid,Full-time,L,FR,Consulting,0,7.9,Masters,SQL,8,1,False,0.8,67596
Data Analyst,Senior,Full-time,L,US,Technology,100,10.9,Bachelors,SQL,9,3,True,10.8,124378
Business Intelligence Analyst,Senior,Full-time,M,CA,Retail,100,7.8,Masters,Python,10,2,False,2.5,107648
AI Engineer,Entry,Part-time,L,US,Technology,100,2.4,Bootcamp,Python,8,1,True,15.0,87894
Machine Learning Engineer,Lead,Contract,L,US,Finance,100,15.3,Masters,Python,7,2,True,15.4,294039
Data Engineer,Mid,Part-time,M,DE,Manufacturing,0,6.9,Masters,Python,11,0,False,3.2,39092
Data Engineer,Mid,Full-time,L,DE,Energy,0,8.5,Bachelors,Python,5,4,True,16.8,98356
Research Scientist,Senior,Full-time,S,US,Retail,50,10.3,Masters,SQL,7,3,False,2.8,165260
Data Engineer,Mid,Full-time,L,US,Technology,50,5.2,Bootcamp,Python,8,1,True,12.3,111592
Machine Learning Engineer,Senior,Full-time,M,US,Education,100,8.7,Bachelors,SQL,7,1,True,7.8,136452
Analytics Engineer,Senior,Full-time,L,IN,Technology,0,9.0,Bachelors,Python,6,2,False,2.3,38724
Computer Vision Engineer,Lead,Full-time,M,IN,Healthcare,50,16.0,Bachelors,Python,4,2,True,11.2,59829
Data Science Manager,Senior,Full-time,M,IN,Technology,50,11.1,Masters,Python,6,3,False,0.2,76444
Machine Learning Engineer,Executive,Full-time,M,CA,Government,0,21.8,Masters,Python,10,1,True,13.9,155656
Data Scientist,Mid,Full-time,M,AU,Consulting,50,3.9,Masters,Python,9,3,True,9.5,80527
Data Scientist,Senior,Full-time,L,CA,Technology,100,10.9,Bachelors,Python,10,1,True,12.1,191317
Machine Learning Engineer,Mid,Full-time,L,GB,Healthcare,50,6.1,Masters,Python,10,0,True,13.5,86436
Data Scientist,Senior,Full-time,S,US,Government,0,9.6,Masters,Python,12,2,False,4.0,102780
Data Scientist,Senior,Full-time,M,US,Media,100,8.1,Masters,SQL,3,2,False,2.4,158371
Data Analyst,Mid,Full-time,M,GB,Finance,100,7.5,Masters,SQL,10,0,True,16.0,88757
Data Science Manager,Senior,Part-time,M,US,Technology,0,8.3,PhD,Python,4,3,True,9.9,100883
Data Analyst,Mid,Full-time,M,DE,Finance,100,5.5,Masters,Python,5,1,True,6.8,85389
Data Scientist,Lead,Freelance,S,IN,Finance,50,11.3,Masters,SQL,4,5,False,2.9,37925
Computer Vision Engineer,Mid,Full-time,L,DE,Finance,50,3.7,Masters,Python,8,4,False,3.1,89847
AI Engineer,Mid,Full-time,L,IN,Technology,100,6.4,Masters,Python,6,2,False,0.1,35557
MLOps Engineer,Mid,Full-time,L,ES,Healthcare,0,7.3,Masters,SQL,9,1,True,8.6,81870
Data Engineer,Mid,Full-time,S,PL,Finance,0,8.0,Bootcamp,Python,8,1,True,9.0,57626
Computer Vision Engineer,Mid,Full-time,S,IN,Healthcare,0,7.8,Bootcamp,SQL,5,0,False,4.3,27155
Data Science Manager,Senior,Part-time,L,FR,Retail,100,8.2,Masters,Python,8,3,True,15.7,88666
