job_title,experience_level,employment_type,company_size,industry,company_location_name,remote_ratio,years_experience,education_level,primary_language,team_size,certifications_count,uses_ai_tools_daily,ai_tools_hours_per_week,salary_usd
Data Engineer,Senior,Full-time,S,Technology,India,50,11,Masters,R,7,0,True,7,47620
Data Analyst,Mid,Full-time,M,Manufacturing,Germany,100,4,Bachelors,Python,10,2,True,12,47829
AI Engineer,Lead,Full-time,L,Finance,United States,100,16,Bachelors,Python,14,3,True,12,221527
Machine Learning Engineer,Mid,Full-time,M,Education,Great Britain,100,3,Bachelors,Python,18,1,True,12,95058
Data Engineer,Senior,Full-time,M,Education,United States,0,10,Bootcamp,SQL,4,2,False,1,93560
Data Analyst,Senior,Full-time,M,Energy,Poland,50,6,Bachelors,Python,8,3,False,5,49555
Business Intelligence Analyst,Senior,Full-time,M,Finance,India,50,11,Bachelors,Python,12,3,False,2,30459
Analytics Engineer,Senior,Full-time,L,Healthcare,India,0,11,Bootcamp,R,6,4,True,4,39008
AI Engineer,Mid,Full-time,S,Finance,India,0,6,Bootcamp,SQL,5,2,False,3,24260
Data Engineer,Entry,Full-time,M,Media,United States,50,0,Masters,Python,9,4,True,18,113587
Computer Vision Engineer,Entry,Full-time,M,Retail,Netherlands,50,0,Self-taught,Julia,6,1,False,2,63639
AI Engineer,Mid,Full-time,M,Technology,India,0,8,Bachelors,Python,12,0,True,8,38694
Machine Learning Engineer,Lead,Full-time,S,Media,India,100,11,Masters,Python,6,4,False,5,45726
Business Intelligence Analyst,Mid,Part-time,M,Finance,United States,0,6,Bachelors,Python,5,3,False,3,45653
Data Engineer,Lead,Full-time,L,Technology,France,100,15,Bachelors,Python,8,2,False,3,139305
MLOps Engineer,Mid,Full-time,L,Government,Netherlands,100,6,Self-taught,SQL,6,1,False,0,53183
Data Engineer,Executive,Full-time,M,Technology,India,100,17,Masters,Python,7,4,True,9,76753
Data Analyst,Lead,Full-time,L,Media,Australia,100,14,PhD,SQL,7,1,True,13,135285
MLOps Engineer,Entry,Full-time,S,Education,Poland,50,3,Masters,Python,8,4,True,11,34110
Data Analyst,Senior,Full-time,M,Technology,United States,0,11,PhD,Python,10,3,True,8,172487
Machine Learning Engineer,Lead,Full-time,M,Finance,India,100,11,PhD,Python,8,4,True,25,69827
AI Engineer,Mid,Contract,M,Consulting,Canada,100,6,Self-taught,Python,8,2,False,0,91428
Data Analyst,Mid,Contract,M,Media,India,0,6,Bachelors,Python,4,0,False,2,20358
MLOps Engineer,Senior,Full-time,M,Technology,Brazil,0,7,PhD,Python,7,0,False,2,47335
AI Engineer,Senior,Full-time,L,Technology,Great Britain,100,10,Masters,Python,9,2,True,17,151394
AI Engineer,Senior,Full-time,S,Healthcare,United States,0,10,Masters,Python,12,2,True,10,195720
Data Engineer,Entry,Full-time,M,Finance,Brazil,0,1,Bachelors,Python,5,2,True,13,29965
Machine Learning Engineer,Lead,Freelance,L,Retail,United States,0,12,PhD,Python,8,2,True,8,276910
Machine Learning Engineer,Entry,Full-time,S,Finance,United States,0,0,Masters,Python,10,1,True,13,104896
Machine Learning Engineer,Mid,Full-time,L,Technology,Canada,0,6,Bachelors,Scala,10,2,False,0,83238
Research Scientist,Senior,Full-time,M,Consulting,Brazil,100,10,Masters,Python,7,3,True,14,38007
AI Engineer,Mid,Full-time,M,Technology,United States,0,4,Bachelors,Java,6,1,False,1,169730
Machine Learning Engineer,Lead,Full-time,L,Energy,Australia,0,15,PhD,Python,5,1,True,17,179645
Data Scientist,Mid,Full-time,M,Healthcare,United States,0,5,Bachelors,R,11,2,True,6,120239
Analytics Engineer,Mid,Freelance,M,Healthcare,Great Britain,100,10,Masters,Scala,10,1,True,12,60384
Machine Learning Engineer,Senior,Full-time,L,Finance,United States,100,12,Bachelors,Python,9,2,True,15,245491
Data Engineer,Senior,Full-time,M,Retail,Great Britain,0,12,Bachelors,Python,9,3,True,9,84140
Machine Learning Engineer,Mid,Full-time,L,Technology,Poland,100,8,Masters,Python,10,2,True,23,99236
Data Scientist,Entry,Full-time,S,Healthcare,India,100,3,Bachelors,Python,7,1,False,0,20350
Business Intelligence Analyst,Mid,Full-time,M,Finance,United States,0,10,Bachelors,Python,5,1,True,13,97474
Data Science Manager,Mid,Full-time,M,Retail,France,50,7,Bachelors,Python,13,2,False,1,81977
Data Scientist,Lead,Full-time,M,Finance,United States,100,17,Bachelors,Java,9,2,True,12,197149
Data Engineer,Lead,Full-time,M,Technology,United States,100,16,Masters,Python,5,3,False,3,179885
MLOps Engineer,Senior,Full-time,M,Retail,India,50,13,Bachelors,Python,5,1,True,6,49581
Data Engineer,Executive,Full-time,S,Consulting,United States,100,17,Bachelors,Python,7,1,True,14,145188
AI Engineer,Mid,Part-time,M,Government,Australia,50,4,Bachelors,Python,6,1,True,7,48644
Machine Learning Engineer,Senior,Full-time,M,Consulting,Great Britain,100,11,Masters,Python,8,3,True,7,128061
Analytics Engineer,Mid,Full-time,L,Government,United States,100,9,Bachelors,Python,11,1,True,14,103751
Data Science Manager,Entry,Contract,L,Technology,Poland,100,2,PhD,SQL,7,2,False,1,47457
Business Intelligence Analyst,Entry,Full-time,M,Consulting,France,50,2,Bachelors,Python,2,3,True,9,36703
AI Engineer,Entry,Contract,L,Manufacturing,United States,0,4,PhD,Python,12,0,True,10,84722
Data Analyst,Entry,Full-time,M,Healthcare,Poland,50,1,Masters,SQL,8,4,True,8,20211
Computer Vision Engineer,Executive,Full-time,M,Finance,United States,0,21,Bootcamp,Python,11,2,True,5,204902
Data Scientist,Entry,Full-time,M,Technology,United States,0,5,Bachelors,Python,6,1,False,2,94426
Data Engineer,Lead,Full-time,M,Retail,United States,0,12,Masters,SQL,5,0,False,5,213117
Data Engineer,Lead,Full-time,L,Consulting,Germany,100,18,PhD,Java,11,1,True,15,191241
Research Scientist,Mid,Part-time,S,Technology,United States,0,4,Self-taught,Python,8,1,True,12,47234
Machine Learning Engineer,Mid,Full-time,M,Retail,Germany,50,7,PhD,R,12,4,True,20,90333
Data Scientist,Senior,Full-time,M,Manufacturing,Canada,50,10,Self-taught,Python,8,2,True,0,67204
Data Scientist,Mid,Full-time,M,Finance,Singapore,0,7,Masters,Python,6,1,True,7,88207
AI Engineer,Mid,Full-time,L,Media,Canada,0,2,Bachelors,SQL,7,0,False,0,85637
Machine Learning Engineer,Entry,Full-time,M,Technology,Netherlands,0,4,Self-taught,Python,6,2,False,0,63446
AI Engineer,Entry,Full-time,L,Consulting,United States,50,4,Bachelors,Python,6,3,True,9,92547
AI Engineer,Senior,Full-time,S,Energy,United States,100,8,PhD,Python,8,4,True,7,169313
Business Intelligence Analyst,Mid,Full-time,L,Finance,Germany,0,7,Masters,Python,2,1,True,6,74355
Computer Vision Engineer,Lead,Full-time,S,Technology,United States,100,13,PhD,Python,12,1,True,4,207529
Data Analyst,Senior,Full-time,M,Media,Brazil,100,12,Bachelors,Java,10,6,True,13,29779
Computer Vision Engineer,Mid,Full-time,L,Media,France,100,7,Bachelors,Python,13,1,False,8,89600
Analytics Engineer,Senior,Full-time,S,Healthcare,Netherlands,50,13,Masters,Python,5,1,False,4,87299
Research Scientist,Senior,Full-time,L,Technology,Germany,0,12,Bachelors,Python,9,1,True,6,124075
Research Scientist,Senior,Full-time,L,Finance,Canada,50,9,Masters,Python,13,2,True,15,132418
AI Engineer,Lead,Full-time,S,Healthcare,United States,50,20,Bachelors,Python,9,1,False,2,214002
Computer Vision Engineer,Mid,Full-time,M,Technology,United States,100,9,Masters,Python,9,3,True,12,223581
Data Analyst,Senior,Full-time,M,Finance,India,100,8,Bachelors,SQL,5,2,False,0,28979
AI Engineer,Mid,Full-time,M,Finance,United States,50,6,PhD,Python,13,0,False,3,203974
LLM Engineer,Entry,Full-time,S,Finance,United States,0,2,Bachelors,Java,15,1,False,4,93722
Data Scientist,Senior,Full-time,M,Technology,Great Britain,50,9,Masters,R,10,1,False,2,109063
AI Engineer,Entry,Full-time,M,Energy,Australia,50,1,PhD,Python,8,1,False,4,79514
Data Engineer,Entry,Full-time,S,Manufacturing,United States,50,3,Masters,SQL,6,2,False,0,61316
Analytics Engineer,Senior,Full-time,L,Technology,Germany,50,7,PhD,Python,6,2,True,11,149355
Data Scientist,Lead,Full-time,L,Media,France,0,16,Masters,Python,7,2,True,10,138798
AI Engineer,Senior,Contract,M,Technology,France,50,10,PhD,Java,8,1,False,1,135891
Business Intelligence Analyst,Lead,Full-time,S,Government,United States,50,15,PhD,Python,8,3,False,2,138564
AI Engineer,Mid,Full-time,M,Finance,Germany,0,6,Bachelors,Python,7,3,True,20,108545
Data Engineer,Mid,Full-time,M,Retail,Brazil,100,7,Bachelors,R,6,1,True,18,35134
Research Scientist,Mid,Freelance,L,Finance,United States,50,6,Masters,Python,9,2,True,5,135653
Data Engineer,Entry,Full-time,M,Technology,United States,0,4,Masters,Julia,9,1,False,1,119243
Research Scientist,Entry,Full-time,M,Technology,Great Britain,50,4,PhD,Python,14,0,True,11,92945
Data Scientist,Mid,Full-time,L,Finance,Australia,100,7,Bootcamp,SQL,6,3,True,8,106852
Data Analyst,Lead,Full-time,S,Government,Brazil,100,15,Masters,Python,5,3,True,5,30671
Data Scientist,Entry,Full-time,L,Technology,Brazil,100,5,Bootcamp,Python,13,2,True,12,29270
Data Scientist,Mid,Full-time,L,Finance,United States,0,4,Masters,Python,10,1,True,13,179175
AI Engineer,Executive,Full-time,M,Finance,United States,100,21,Masters,Python,9,2,False,4,271576
Data Analyst,Lead,Full-time,M,Technology,Poland,50,16,PhD,Python,8,0,True,7,71853
Machine Learning Engineer,Entry,Full-time,S,Consulting,Germany,0,3,Masters,Python,10,1,True,10,69077
Research Scientist,Senior,Contract,S,Technology,United States,0,10,Masters,Python,10,4,True,9,169616
Business Intelligence Analyst,Lead,Full-time,M,Retail,United States,50,15,Masters,Python,10,2,False,4,114968
Data Engineer,Entry,Full-time,M,Consulting,Brazil,0,5,Masters,Python,10,1,True,5,26394
Data Engineer,Mid,Full-time,M,Technology,India,50,5,Bootcamp,Python,7,1,True,15,44028
Data Engineer,Senior,Full-time,M,Technology,United States,100,11,Bachelors,Python,8,0,True,10,129356
Data Scientist,Senior,Full-time,L,Consulting,India,50,13,Masters,SQL,8,3,True,15,41160
Research Scientist,Lead,Full-time,M,Retail,Australia,0,18,Self-taught,Python,4,1,True,3,142928
LLM Engineer,Mid,Full-time,M,Education,India,0,5,PhD,Python,4,3,True,14,33669
Machine Learning Engineer,Entry,Full-time,M,Healthcare,Canada,0,2,PhD,Python,6,2,True,20,75346
AI Engineer,Executive,Full-time,S,Manufacturing,United States,0,18,Bachelors,Python,10,5,False,3,200635
Data Science Manager,Mid,Full-time,M,Technology,Great Britain,100,6,Self-taught,Python,6,1,False,4,104928
MLOps Engineer,Senior,Full-time,S,Technology,Great Britain,100,8,Masters,Java,9,3,True,9,103017
Analytics Engineer,Lead,Part-time,S,Technology,Spain,50,11,PhD,Python,11,3,False,2,48800
Business Intelligence Analyst,Senior,Full-time,M,Manufacturing,United States,0,9,Bachelors,Python,9,3,False,0,77799
Data Analyst,Mid,Full-time,S,Healthcare,United States,50,4,Bachelors,Python,7,1,False,4,76052
Research Scientist,Mid,Full-time,L,Finance,Great Britain,50,6,Bootcamp,Python,6,1,True,12,102866
MLOps Engineer,Entry,Full-time,L,Technology,Germany,0,2,Masters,R,6,2,False,3,67582
LLM Engineer,Entry,Part-time,M,Media,Singapore,0,4,Masters,Python,7,3,True,8,35214
Data Engineer,Senior,Full-time,M,Retail,Singapore,0,14,Self-taught,SQL,8,4,True,18,86670
MLOps Engineer,Entry,Full-time,M,Healthcare,Germany,100,0,Masters,Python,6,2,True,7,86499
AI Engineer,Mid,Full-time,L,Finance,India,0,5,Masters,Python,11,2,True,18,32018
Data Engineer,Mid,Full-time,S,Energy,United States,0,6,Masters,Python,9,1,True,15,115620
Data Scientist,Lead,Full-time,M,Government,India,100,13,Bachelors,Python,12,3,True,8,48918
Data Engineer,Senior,Part-time,M,Finance,India,0,11,Bachelors,Scala,12,1,True,13,37999
Data Science Manager,Senior,Full-time,L,Retail,United States,0,10,Masters,Python,10,2,False,0,200533
Data Analyst,Senior,Full-time,M,Technology,United States,100,13,Self-taught,SQL,8,1,True,11,123417
Data Scientist,Mid,Full-time,M,Finance,Great Britain,50,7,PhD,R,8,1,True,14,90938
Data Engineer,Senior,Full-time,S,Finance,United States,100,12,Bootcamp,Python,8,2,True,15,159096
Data Scientist,Entry,Full-time,M,Consulting,United States,50,3,Masters,Python,6,2,False,4,72876
Data Analyst,Entry,Full-time,M,Government,United States,50,0,Self-taught,SQL,9,0,False,2,38828
Computer Vision Engineer,Executive,Full-time,M,Retail,Brazil,0,18,Masters,Python,8,1,True,12,58467
Data Engineer,Mid,Full-time,M,Technology,France,50,7,Bootcamp,Scala,15,3,False,1,59938
AI Engineer,Mid,Full-time,M,Education,Singapore,50,8,Bachelors,SQL,7,3,True,10,70773
Data Analyst,Entry,Full-time,M,Finance,India,100,8,Masters,Python,9,3,False,3,23692
Research Scientist,Mid,Full-time,M,Retail,United States,50,6,Masters,Python,12,0,True,6,108544
Data Scientist,Lead,Full-time,M,Energy,United States,0,15,Masters,SQL,8,2,True,4,252553
Analytics Engineer,Lead,Full-time,L,Manufacturing,Great Britain,0,13,Bootcamp,Python,5,3,True,14,116029
Machine Learning Engineer,Senior,Full-time,M,Technology,Great Britain,0,13,Bachelors,Python,11,1,False,4,113012
Data Analyst,Mid,Full-time,L,Finance,United States,100,2,Bachelors,Python,11,5,False,2,113414
Analytics Engineer,Lead,Full-time,M,Finance,United States,0,11,Masters,Python,5,1,True,15,175747
AI Engineer,Senior,Full-time,M,Retail,United States,50,9,Self-taught,Python,7,3,True,15,193930
Machine Learning Engineer,Entry,Full-time,M,Technology,Germany,0,3,Bootcamp,Python,9,0,False,3,70399
Data Analyst,Senior,Full-time,L,Retail,United States,100,11,PhD,Python,10,1,False,4,139871
Analytics Engineer,Mid,Full-time,S,Technology,United States,100,4,PhD,Python,6,2,True,19,116668
Data Engineer,Entry,Full-time,L,Retail,France,0,2,Masters,SQL,11,1,True,13,54863
Data Scientist,Mid,Full-time,S,Finance,India,100,4,PhD,Java,7,1,True,6,32012
Data Science Manager,Senior,Full-time,M,Retail,United States,0,11,Masters,Python,6,0,True,10,174420
Data Scientist,Senior,Full-time,M,Retail,Poland,50,12,Bachelors,Python,9,2,False,1,56120
Data Scientist,Executive,Freelance,S,Technology,Singapore,100,16,Masters,SQL,6,2,False,1,117747
Machine Learning Engineer,Mid,Full-time,M,Retail,Poland,100,5,PhD,Python,6,4,True,11,54647
Data Analyst,Mid,Full-time,S,Retail,United States,100,8,Bachelors,Python,8,3,False,2,89087
Data Engineer,Lead,Full-time,M,Media,Australia,100,16,Masters,Scala,4,2,True,14,162009
AI Engineer,Mid,Full-time,M,Technology,Spain,50,4,Self-taught,SQL,5,1,True,9,53807
Data Science Manager,Senior,Full-time,L,Consulting,Germany,50,8,Masters,Python,7,4,True,5,123185
Computer Vision Engineer,Entry,Full-time,M,Retail,United States,100,4,Bachelors,Python,12,1,True,17,77198
Data Scientist,Senior,Freelance,S,Consulting,United States,50,14,Bachelors,SQL,9,2,True,9,89867
Business Intelligence Analyst,Senior,Full-time,M,Government,India,0,12,Masters,Python,7,4,True,16,32998
Data Analyst,Senior,Full-time,M,Finance,Netherlands,50,10,Bootcamp,Python,12,0,True,12,90352
LLM Engineer,Mid,Full-time,L,Healthcare,United States,50,7,PhD,Python,3,1,False,1,171331
Data Engineer,Senior,Full-time,M,Government,United States,100,12,PhD,Python,8,6,True,10,128137
MLOps Engineer,Senior,Full-time,L,Healthcare,Great Britain,50,14,Bachelors,SQL,11,2,True,8,93654
MLOps Engineer,Senior,Full-time,M,Healthcare,Netherlands,100,9,Bachelors,Python,9,2,False,0,131889
Business Intelligence Analyst,Lead,Full-time,S,Finance,France,100,14,PhD,Python,8,2,False,2,98759
Data Science Manager,Mid,Full-time,S,Energy,Spain,100,8,Bootcamp,SQL,6,1,True,19,46758
Data Analyst,Senior,Full-time,S,Finance,United States,100,7,PhD,Python,8,1,True,14,142322
AI Engineer,Senior,Full-time,L,Technology,United States,50,8,Bachelors,Python,5,1,True,16,200099
MLOps Engineer,Senior,Full-time,M,Healthcare,United States,50,10,Masters,SQL,7,2,True,7,152774
Data Scientist,Mid,Contract,M,Finance,United States,0,3,Masters,Python,8,2,False,3,136984
Research Scientist,Senior,Full-time,L,Manufacturing,Spain,100,10,Masters,SQL,13,3,True,11,109824
Data Engineer,Mid,Full-time,S,Retail,United States,50,3,Masters,Python,12,2,True,13,120754
Data Analyst,Senior,Full-time,S,Finance,Great Britain,0,7,Bachelors,Python,7,1,True,7,71655
AI Engineer,Mid,Contract,M,Technology,Canada,50,8,Bachelors,SQL,9,3,False,2,73110
Machine Learning Engineer,Lead,Full-time,S,Retail,Singapore,0,13,Bachelors,R,5,1,False,0,99284
AI Engineer,Mid,Full-time,S,Consulting,United States,50,8,Masters,Java,6,1,False,4,191504
Research Scientist,Lead,Full-time,M,Media,Netherlands,0,14,Bachelors,SQL,8,1,True,6,124020
Machine Learning Engineer,Senior,Full-time,M,Consulting,United States,100,11,Bootcamp,SQL,6,1,True,16,143578
Business Intelligence Analyst,Senior,Full-time,M,Technology,Germany,0,12,Bachelors,Python,14,2,True,7,85876
Data Analyst,Senior,Full-time,L,Technology,Netherlands,100,9,Bachelors,Python,8,2,True,10,118003
Data Engineer,Senior,Full-time,M,Technology,Canada,50,12,Masters,Python,6,1,True,16,168344
Data Engineer,Senior,Contract,M,Media,Australia,100,10,Bachelors,SQL,4,3,True,18,82319
Analytics Engineer,Senior,Full-time,M,Government,United States,0,12,Masters,Python,10,2,True,17,129374
Research Scientist,Entry,Full-time,L,Healthcare,Germany,0,0,Bachelors,SQL,3,4,True,16,80351
Data Analyst,Mid,Full-time,L,Retail,Netherlands,0,5,Bachelors,SQL,10,2,False,0,68986
Analytics Engineer,Mid,Full-time,M,Technology,Canada,100,5,Bootcamp,Scala,10,3,False,2,86313
Analytics Engineer,Executive,Full-time,L,Technology,United States,0,18,Bachelors,Python,10,2,True,8,199983
Analytics Engineer,Mid,Full-time,M,Technology,United States,0,8,PhD,Python,8,1,True,19,105797
Data Scientist,Senior,Contract,M,Retail,Canada,0,9,Bachelors,Python,8,3,True,14,89996
Data Analyst,Mid,Full-time,M,Manufacturing,United States,100,9,Bachelors,R,11,4,False,4,83151
Business Intelligence Analyst,Executive,Full-time,S,Technology,Great Britain,50,20,Bootcamp,Java,5,2,True,13,129131
Business Intelligence Analyst,Executive,Full-time,S,Healthcare,United States,0,18,Bachelors,Scala,6,4,True,10,112737
Data Analyst,Senior,Full-time,M,Technology,United States,0,12,Bachelors,Python,7,2,False,2,115493
AI Engineer,Executive,Full-time,M,Technology,Great Britain,100,20,Bachelors,Python,9,5,True,11,248279
Data Analyst,Mid,Full-time,M,Media,Great Britain,50,5,Masters,Python,11,2,False,6,50453
Machine Learning Engineer,Entry,Full-time,M,Technology,Canada,100,3,Masters,Python,12,1,True,8,71959
Data Scientist,Lead,Full-time,M,Technology,Germany,50,13,Bachelors,Python,7,4,True,8,159581
Data Engineer,Mid,Full-time,M,Technology,Germany,100,7,Masters,Rust,6,2,False,1,84920
Data Analyst,Senior,Full-time,M,Retail,Great Britain,50,13,Bachelors,SQL,4,5,False,5,59551
Computer Vision Engineer,Lead,Full-time,L,Government,United States,100,15,Bachelors,Python,9,1,False,5,162219
AI Engineer,Mid,Full-time,L,Government,Great Britain,0,3,Bachelors,Python,14,4,True,7,84695
Data Analyst,Senior,Full-time,M,Consulting,Great Britain,0,9,Masters,Python,12,1,False,1,104276
Machine Learning Engineer,Senior,Full-time,M,Healthcare,India,100,11,Bachelors,Python,5,2,True,13,34051
Machine Learning Engineer,Senior,Full-time,M,Energy,United States,50,12,Bachelors,Python,5,1,True,14,191242
Research Scientist,Senior,Full-time,S,Finance,United States,0,9,PhD,Python,7,3,False,4,171769
AI Engineer,Mid,Full-time,L,Finance,India,0,9,Masters,Python,9,0,False,4,63664
Machine Learning Engineer,Mid,Full-time,S,Technology,Netherlands,100,6,PhD,Python,11,0,True,8,79924
Data Engineer,Senior,Full-time,S,Healthcare,India,100,9,Bootcamp,Python,8,5,False,1,25651
AI Engineer,Lead,Full-time,M,Technology,Canada,0,14,Bootcamp,Python,8,1,True,6,173691
Data Science Manager,Lead,Full-time,S,Technology,United States,0,16,PhD,Python,6,1,True,4,287379
AI Engineer,Mid,Full-time,M,Technology,Spain,50,5,Bachelors,Python,5,3,True,9,61391
Business Intelligence Analyst,Mid,Full-time,L,Finance,United States,0,7,Bachelors,Java,6,2,True,6,106229
Data Scientist,Mid,Full-time,L,Consulting,France,0,8,Masters,SQL,8,1,False,1,67596
Data Analyst,Senior,Full-time,L,Technology,United States,100,11,Bachelors,SQL,9,3,True,11,124378
Business Intelligence Analyst,Senior,Full-time,M,Retail,Canada,100,8,Masters,Python,10,2,False,2,107648
AI Engineer,Entry,Part-time,L,Technology,United States,100,2,Bootcamp,Python,8,1,True,15,87894
Machine Learning Engineer,Lead,Contract,L,Finance,United States,100,15,Masters,Python,7,2,True,15,294039
Data Engineer,Mid,Part-time,M,Manufacturing,Germany,0,7,Masters,Python,11,0,False,3,39092
Data Engineer,Mid,Full-time,L,Energy,Germany,0,8,Bachelors,Python,5,4,True,17,98356
Research Scientist,Senior,Full-time,S,Retail,United States,50,10,Masters,SQL,7,3,False,3,165260
Data Engineer,Mid,Full-time,L,Technology,United States,50,5,Bootcamp,Python,8,1,True,12,111592
Machine Learning Engineer,Senior,Full-time,M,Education,United States,100,9,Bachelors,SQL,7,1,True,8,136452
Analytics Engineer,Senior,Full-time,L,Technology,India,0,9,Bachelors,Python,6,2,False,2,38724
Computer Vision Engineer,Lead,Full-time,M,Healthcare,India,50,16,Bachelors,Python,4,2,True,11,59829
Data Science Manager,Senior,Full-time,M,Technology,India,50,11,Masters,Python,6,3,False,0,76444
Machine Learning Engineer,Executive,Full-time,M,Government,Canada,0,22,Masters,Python,10,1,True,14,155656
Data Scientist,Mid,Full-time,M,Consulting,Australia,50,4,Masters,Python,9,3,True,10,80527
Data Scientist,Senior,Full-time,L,Technology,Canada,100,11,Bachelors,Python,10,1,True,12,191317
Machine Learning Engineer,Mid,Full-time,L,Healthcare,Great Britain,50,6,Masters,Python,10,0,True,14,86436
Data Scientist,Senior,Full-time,S,Government,United States,0,10,Masters,Python,12,2,False,4,102780
Data Scientist,Senior,Full-time,M,Media,United States,100,8,Masters,SQL,3,2,False,2,158371
Data Analyst,Mid,Full-time,M,Finance,Great Britain,100,8,Masters,SQL,10,0,True,16,88757
Data Science Manager,Senior,Part-time,M,Technology,United States,0,8,PhD,Python,4,3,True,10,100883
Data Analyst,Mid,Full-time,M,Finance,Germany,100,6,Masters,Python,5,1,True,7,85389
Data Scientist,Lead,Freelance,S,Finance,India,50,11,Masters,SQL,4,5,False,3,37925
Computer Vision Engineer,Mid,Full-time,L,Finance,Germany,50,4,Masters,Python,8,4,False,3,89847
AI Engineer,Mid,Full-time,L,Technology,India,100,6,Masters,Python,6,2,False,0,35557
MLOps Engineer,Mid,Full-time,L,Healthcare,Spain,0,7,Masters,SQL,9,1,True,9,81870
Data Engineer,Mid,Full-time,S,Finance,Poland,0,8,Bootcamp,Python,8,1,True,9,57626
Computer Vision Engineer,Mid,Full-time,S,Healthcare,India,0,8,Bootcamp,SQL,5,0,False,4,27155
Data Science Manager,Senior,Part-time,L,Retail,France,100,8,Masters,Python,8,3,True,16,88666
AI Engineer,Mid,Full-time,M,Energy,United States,0,8,Masters,Python,13,0,True,18,134137
Data Science Manager,Mid,Full-time,L,Retail,Australia,0,5,Bachelors,Python,6,2,True,0,94038
Machine Learning Engineer,Entry,Full-time,M,Technology,Germany,0,4,PhD,Python,10,2,True,11,63044
Machine Learning Engineer,Senior,Full-time,M,Technology,United States,100,13,Self-taught,Python,6,2,True,13,168110
Analytics Engineer,Executive,Full-time,S,Finance,Germany,50,17,Self-taught,Python,14,5,True,10,159344
Research Scientist,Senior,Full-time,M,Healthcare,Germany,50,12,Masters,Python,7,2,True,14,110921
Data Analyst,Lead,Contract,M,Technology,India,0,16,Bachelors,SQL,7,3,False,2,35082
Machine Learning Engineer,Mid,Full-time,S,Finance,Germany,0,6,Bachelors,Python,11,4,True,21,123908
Data Scientist,Lead,Full-time,M,Manufacturing,Poland,100,14,Bachelors,Python,8,2,True,12,77963
Business Intelligence Analyst,Entry,Full-time,S,Technology,United States,0,3,Bachelors,Python,11,1,True,15,47418
AI Engineer,Executive,Full-time,L,Finance,Germany,100,20,Masters,Python,6,4,True,16,248762
Data Scientist,Lead,Full-time,S,Retail,United States,0,16,Masters,SQL,11,3,False,6,218179
Computer Vision Engineer,Executive,Full-time,L,Consulting,United States,100,16,Self-taught,Python,10,2,True,14,251611
Data Science Manager,Mid,Contract,M,Consulting,Canada,100,4,Bachelors,SQL,11,1,False,1,117448
MLOps Engineer,Entry,Full-time,M,Government,United States,100,3,Masters,Scala,11,0,False,0,77655
